id,batch_id,account_code,item_description,brand,model,serial_no,qty_physical_count,unit_cost,line_total_db,line_total_normalized,remarks
19092,14,1.06.05.020.00,"LED 50"" Smart TV; LG 50UK 6300 PTE SN: 807INJL4Z228",LG,"50UK 6300 PTE",807INJL4Z228,1,54990.00,54990.00,54990.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19093,14,1.06.05.020.00,"LED 50"" Smart TV; LG 50UK 6300 PTE SN: 805INGQ1D216",LG,"50UK 6300 PTE",805INGQ1D216,1,54990.00,54990.00,54990.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19094,14,1.06.05.020.00,"LED 50"" Smart TV; LG 50UK 6300 PTE SN: 805INDP3M210",LG,"50UK 6300 PTE",805INDP3M210,1,54990.00,54990.00,54990.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19095,14,1.06.05.020.00,"LED 50"" Smart TV; LG 50UK 6300 PTE SN: 807INJL10021",LG,"50UK 6300 PTE",807INJL10021,1,54990.00,54990.00,54990.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19096,14,1.06.05.020.00,"Everest, 3 tonner; Inverter; floor mounted SN: 340624293018719060041","floor mounted",,340624293018719060041,1,100168.00,100168.00,100168.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19097,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160019",Everest,,340719813098C210160019,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19098,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160015",Everest,,340719813098C210160015,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19099,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160012",Everest,,340719813098C210160012,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19100,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160027",Everest,,340719813098C210160027,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19101,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: ,340719813098C210160016",Everest,,340719813098C210160016,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19102,14,1.06.05.020.00,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160018",Everest,,340719813098C210160018,1,137436.00,137436.00,137436.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19103,14,1.06.05.020.00,"5 tonner, floor mounted; Everest; SN: 2401248060163190160010",Everest,2401248060163190160010,2401248060163190160010,1,191000.00,191000.00,191000.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19104,14,1.06.05.020.00,"2.5M x 2M P 3.91 Indoor Full Color Led Screen: Module Specification; Pixel Pitch 3.91mm. Pixel Configuration: SMD2121; Module Resolution:64x64pixels; Scan Mode: 1/16 scan, Module Size: (WxH); 5pcs x 4pcs., Pixels Resolution (WxH): 896dotsx640dots, Brightness:?800cd/m2, Refresh Rates?384HZ, Viewing Angle: H: 140v: 120 Input Voltage: 200-240V, Max, Power Consumption: 600W/m2, Avg. Power Consumption: 200W/m@. IP Grade: IP43, Cabinet Material: die-casting aluminum. Includes: 1 unit video processors, 1 lot power cables, circuit breaker for LED Screen main supply, 1 lot customized rack with 5KVA AVR for power supply, 1 lot fabricated wall bracket for LED screen, 1 lot communication/signal cable, 1 lot additional fabricated mobile stand to combine the exixting LED screen for outdoor use",,,,1,810204.00,810204.00,810204.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19105,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02038","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02038,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19106,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02028","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02028,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19107,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02036","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02036,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19108,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00907","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00907,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19109,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00952","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00952,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19110,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00476","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00476,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19111,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00485","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00485,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19112,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00936","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00936,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19113,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02189","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02189,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19114,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02195","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02195,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19115,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00905","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00905,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19116,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00144","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00144,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19117,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00662","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00662,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19118,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02041","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02041,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19119,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00841","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00841,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19120,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02041","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02041,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19121,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00154","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00154,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19122,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00937","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00937,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19123,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00931","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00931,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19124,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00923","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00923,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19125,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02250","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02250,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19126,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02058","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02058,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19127,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02183","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02183,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19128,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02190","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02190,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19129,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02037","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02037,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19130,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02252","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02252,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19131,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02191","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02191,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19132,14,1.06.05.020.00,"56 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02105","56 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02105,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19133,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00946","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00946,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19134,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00138","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00138,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19135,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00473","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00473,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19136,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02245","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02245,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19137,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00951","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00951,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
