id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19118,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0028-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02041","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02041,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19119,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0001-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00841","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00841,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19120,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0002-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02041","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02041,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19121,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0003-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00154","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00154,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19122,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0004-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00937","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00937,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19123,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0005-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00931","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00931,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19124,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0006-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00923","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00923,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19125,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0007-081,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02250","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02250,1,1,50010.00,50010.00,,"College of Criminal Justice Education"
19126,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0002-028,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02058","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02058,1,1,50010.00,50010.00,,"Laboratory High School"
19127,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0003-028,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02183","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02183,1,1,50010.00,50010.00,,"Laboratory High School"
19128,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0002-080,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02190","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02190,1,1,50010.00,50010.00,,CIT
19129,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0003-080,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02037","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02037,1,1,50010.00,50010.00,,CIT
